gene_id,gene_name,description,ath_gene_id,ath_alias,gene_name_figs
Zm00001d038009,Zm00001d038009,Vacuolar sorting protein 39,AT4G36630,EMB2754,Zm00001d038009 (EMB2754)
Zm00001d038012,Zm00001d038012,DUF538 family protein,AT3G08890,,Zm00001d038012
Zm00001d038013,LBD-transcription factor 31,Putative LOB domain-containing family protein,AT2G30130,PCK1,LBD-transcription factor 31 (PCK1)
Zm00001d038015,MADS-transcription factor 58,Putative MADS-box transcription factor family protein,AT2G24840,DIA,MADS-transcription factor 58 (DIA)
Zm00001d038016,Zm00001d038016,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5,AT1G07090,LSH6,Zm00001d038016 (LSH6)
Zm00001d038017,Zm00001d038017,60S ribosomal protein L17-2,,,Zm00001d038017
Zm00001d038018,Zm00001d038018,Glutaredoxin family protein,AT5G58530,,Zm00001d038018
Zm00001d038019,Zm00001d038019,protein; Ribosomal protein-like,AT3G47680,,Zm00001d038019
Zm00001d038020,Zm00001d038020,Putative leucine-rich repeat transmembrane protein kinase family protein,AT4G18640,MRH1,Zm00001d038020 (MRH1)
Zm00001d038021,Zm00001d038021,ARM repeat superfamily protein,AT5G53480,KPNB1,Zm00001d038021 (KPNB1)
Zm00001d038022,Zm00001d038022,Pentatricopeptide repeat-containing protein  chloroplastic,AT2G30100,,Zm00001d038022
Zm00001d038023,WRKY-transcription factor 83,Putative WRKY DNA-binding domain superfamily protein,AT2G38470,WRKY33,WRKY-transcription factor 83 (WRKY33)
Zm00001d038029,Zm00001d038029,senescence associated gene 20,AT3G10985,WI12,Zm00001d038029 (WI12)
Zm00001d038030,Zm00001d038030,SAG20,AT3G10980,,Zm00001d038030
Zm00001d038031,Zm00001d038031,Replication protein-like,,,Zm00001d038031
Zm00001d038035,Zm00001d038035,ADPATP carrier protein 1 chloroplastic,AT1G15500,ATNTT2,Zm00001d038035 (ATNTT2)
Zm00001d038036,Zm00001d038036,ribonuclease P family protein,AT2G43190,POP4,Zm00001d038036 (POP4)
Zm00001d038038,Zm00001d038038,Protein LURP-one-related 7,AT2G30270,,Zm00001d038038
Zm00001d038039,Zm00001d038039,Putative VHS/GAT domain containing family protein,AT2G38410,,Zm00001d038039
Zm00001d038041,Zm00001d038041,Squamosa promoter-binding-like protein 14,AT1G20980,SPL1R2,Zm00001d038041 (SPL1R2)
Zm00001d038045,Zm00001d038045,Aspartic proteinase A1,AT1G62290,,Zm00001d038045
Zm00001d038046,Zm00001d038046,Rho GDP-dissociation inhibitor 1,AT3G07880,SCN1,Zm00001d038046 (SCN1)
Zm00001d038047,Zm00001d038047,Heavy metal transport/detoxification superfamily protein,AT5G14910,,Zm00001d038047
Zm00001d038048,calcineurin B-like-interacting protein kinase22,CBL-interacting serine/threonine-protein kinase 15%3B Putative CBL-interacting protein kinase family protein,AT5G58380,SNRK3.8,calcineurin B-like-interacting protein kinase22 (SNRK3.8)
Zm00001d038049,lichenase2,Lichenase-2%3B Putative O-Glycosyl hydrolase superfamily protein,AT4G16260,,lichenase2
Zm00001d038051,peptide chain release factor 2,Peptide chain release factor PrfB3 chloroplastic,AT3G57190,PrfB3,peptide chain release factor 2 (PrfB3)
Zm00001d038052,lichenase1,Lichenase-2%3B Putative O-Glycosyl hydrolase superfamily protein,AT3G57260,PR2,lichenase1 (PR2)
Zm00001d038054,GNAT-transcription factor 29,N-acetyltransferases;N-acetyltransferases,AT2G41450,,GNAT-transcription factor 29
Zm00001d038056,giberellic acid-stimulated like1,Gibberellin-regulated protein 13,AT1G74670,GASA6,giberellic acid-stimulated like1 (GASA6)
Zm00001d038057,Zm00001d038057,Acyl carrier protein,AT1G65290,mtACP2,Zm00001d038057 (mtACP2)
Zm00001d038059,Zm00001d038059,Golgi transport complex protein-related,AT1G67930,,Zm00001d038059
Zm00001d038060,tangled1,Probable microtubule-binding protein TANGLED,AT3G05330,ATTAN,tangled1 (ATTAN)
Zm00001d038061,Zm00001d038061,Probable calcium-binding protein CML25,AT1G24620,,Zm00001d038061
Zm00001d038062,Zm00001d038062,Plant calmodulin-binding protein-related,AT2G38800,,Zm00001d038062
Zm00001d038063,Zm00001d038063,Probable ADP-ribosylation factor GTPase-activating protein AGD11,AT3G07940,,Zm00001d038063
Zm00001d038064,cytochrome P-450 28,cytochrome P450 family 94 subfamily D polypeptide 2,AT3G56630,CYP94D2,cytochrome P-450 28 (CYP94D2)
Zm00001d038065,annexin4,Annexin D4,AT2G38750,AtANN4,annexin4 (AtANN4)
Zm00001d038066,annexin3,Annexin,AT2G38760,AtANN3,annexin3 (AtANN3)
Zm00001d038068,Zm00001d038068,ATPase%2C coupled to transmembrane movement of substance,AT5G19410,ABCG23,Zm00001d038068 (ABCG23)
Zm00001d038069,Zm00001d038069,Putative thaumatin domain family protein,AT1G75800,,Zm00001d038069
Zm00001d038071,Zm00001d038071,Protein N-terminal glutamine amidohydrolase,AT2G41760,,Zm00001d038071
Zm00001d038072,Zm00001d038072,Serine/threonine-protein kinase-like protein,AT3G51990,,Zm00001d038072
Zm00001d038073,Zm00001d038073,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,AT4G22880,TT18,Zm00001d038073 (TT18)
Zm00001d038074,Zm00001d038074,Major facilitator superfamily protein,AT3G49310,,Zm00001d038074
Zm00001d038075,Zea mays ARGOS8,Zea mays ARGOS8,,,Zea mays ARGOS8
Zm00001d038076,Zm00001d038076,UDP-D-xylose:L-fucose alpha-13-D-xylosyltransferase MGP4,AT4G01220,MGP4,Zm00001d038076 (MGP4)
Zm00001d038078,Zm00001d038078,Actin-interacting protein 1-2,AT3G18060,,Zm00001d038078
Zm00001d038079,Zm00001d038079,Inositol polyphosphate multikinase beta,AT5G61760,IPK2BETA,Zm00001d038079 (IPK2BETA)
Zm00001d038080,Zm00001d038080,agenet domain protein,AT4G25330,,Zm00001d038080
Zm00001d038081,SHI/STY (SRS)-transcription factor 6,Protein SHI RELATED SEQUENCE 6,AT5G12330,LRP1,SHI/STY (SRS)-transcription factor 6 (LRP1)
Zm00001d038084,Zm00001d038084,50S ribosomal protein L1 chloroplastic,AT3G63490,PRPL1,Zm00001d038084 (PRPL1)
Zm00001d038085,Zm00001d038085,Protein RETICULATA-RELATED 4 chloroplastic,AT5G12470,,Zm00001d038085
Zm00001d038087,dwarf & irregular leaf1,dwarf & irregular leaf1,AT2G41710,,dwarf & irregular leaf1
Zm00001d038088,Zm00001d038088,Sm-like protein LSM5,AT5G48870,SAD1,Zm00001d038088 (SAD1)
Zm00001d038089,Zm00001d038089,Major facilitator superfamily protein,AT1G64890,,Zm00001d038089
Zm00001d038091,Zm00001d038091,Carbon catabolite repressor protein 4 homolog 4,AT5G53550,YSL3,Zm00001d038091 (YSL3)
Zm00001d038092,Zm00001d038092,Putative RING zinc finger domain superfamily protein,AT5G45290,,Zm00001d038092
Zm00001d038093,Zm00001d038093,Cleavage stimulation factor subunit 77,AT1G17760,CSTF77,Zm00001d038093 (CSTF77)
Zm00001d038095,Zm00001d038095,Hyaluronan / mRNA binding family,,,Zm00001d038095
Zm00001d038097,Zm00001d038097,Probable transmembrane GTPase FZO-like chloroplastic,AT1G03160,FZL,Zm00001d038097 (FZL)
Zm00001d038099,Zm00001d038099,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,AT4G12600,,Zm00001d038099
Zm00001d038100,Zm00001d038100,CPL3,AT5G58003,CPL4,Zm00001d038100 (CPL4)
Zm00001d038104,Zm00001d038104,Mannosylglycoprotein endo-beta-mannosidase,AT1G09010,,Zm00001d038104
Zm00001d038105,Zm00001d038105,Glycosyltransferase family 61 protein,AT2G41640,,Zm00001d038105
Zm00001d038106,Zm00001d038106,E3 ubiquitin-protein ligase KEG,AT5G13530,KEG,Zm00001d038106 (KEG)
Zm00001d038107,Zm00001d038107,Decapping nuclease DXO homolog chloroplastic,AT4G17620,,Zm00001d038107
Zm00001d038108,Zm00001d038108,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,AT3G60910,,Zm00001d038108
Zm00001d038109,Zm00001d038109,Putative cyclin-dependent kinase family protein,AT1G73690,CDKD1;1,Zm00001d038109 (CDKD1;1)
Zm00001d038112,Zm00001d038112,AT4G28540 (E=2e-063) CKL6 PAPK1 | CKL6 (CASEIN KINASE I-LIKE 6); kinase/ protein serine/threonine kinase,AT4G14340,CKL11,Zm00001d038112 (CKL11)
Zm00001d038113,required to maintain repression1,Required to maintain repression 1%3B Required to maintain repression1,AT1G05490,chr31,required to maintain repression1 (chr31)
Zm00001d038114,Zm00001d038114,Peroxisomal adenine nucleotide carrier 1,AT3G05290,PNC1,Zm00001d038114 (PNC1)
Zm00001d038115,Zm00001d038115,Putative DUF26-domain receptor-like protein kinase family protein,AT1G70520,CRK2,Zm00001d038115 (CRK2)
Zm00001d038116,Zm00001d038116,UDP-glucuronate 4-epimerase 1,AT4G30440,GAE1,Zm00001d038116 (GAE1)
Zm00001d038117,Zm00001d038117,Ribosomal protein L34e superfamily protein,AT3G06180,,Zm00001d038117
Zm00001d038118,Zm00001d038118,PAC,AT2G48120,PAC,Zm00001d038118 (PAC)
Zm00001d038120,Zm00001d038120,evolutionarily conserved C-terminal region 2,AT3G13460,ECT2,Zm00001d038120 (ECT2)
Zm00001d038121,sugary4,sugary4,AT1G03310,ISA2,sugary4 (ISA2)
Zm00001d038122,Zm00001d038122,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein,AT5G05480,,Zm00001d038122
Zm00001d038123,Zm00001d038123,Putative DUF21 domain-containing protein,AT4G14240,,Zm00001d038123
Zm00001d038127,Zm00001d038127,Probable E3 ubiquitin-protein ligase LUL4,AT3G06140,LUL4,Zm00001d038127 (LUL4)
Zm00001d038128,Preprotein translocase subunit SCY2 ,Preprotein translocase subunit SCY2 chloroplastic,AT2G31530,SCY2,Preprotein translocase subunit SCY2  (SCY2)
Zm00001d038129,Zm00001d038129,Protein TRAUCO,AT1G51450,TRO,Zm00001d038129 (TRO)
Zm00001d038130,Zm00001d038130,Chaperone DnaJ-domain superfamily protein,AT3G05345,DJC82,Zm00001d038130 (DJC82)
Zm00001d038131,Zm00001d038131,P-loop containing nucleoside triphosphate hydrolases superfamily protein,AT5G27550,,Zm00001d038131
Zm00001d038133,Zm00001d038133,Cyclin-U3-1,AT2G44740,CYCP4;1,Zm00001d038133 (CYCP4;1)
Zm00001d038134,TNF receptor-associated factor 28,ARM REPEAT PROTEIN INTERACTING WITH ABF2,AT5G19330,ARIA,TNF receptor-associated factor 28 (ARIA)
Zm00001d038135,Zm00001d038135,Protein kinase superfamily protein,AT3G58690,,Zm00001d038135
Zm00001d038136,Zm00001d038136,alpha/beta-Hydrolases superfamily protein,AT3G23600,,Zm00001d038136
Zm00001d038137,Zm00001d038137,Germin-like protein subfamily 2 member 1,AT3G62020,GLP10,Zm00001d038137 (GLP10)
Zm00001d038139,Zm00001d038139,DNA-directed RNA polymerase II subunit 7,AT5G59180,NRPB7,Zm00001d038139 (NRPB7)
Zm00001d038141,Zm00001d038141,Auxin-responsive protein,,,Zm00001d038141
Zm00001d038142,Zm00001d038142,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase chloroplastic,AT2G36230,HISN3,Zm00001d038142 (HISN3)
Zm00001d038143,Zm00001d038143,GDSL esterase/lipase,AT1G54790,,Zm00001d038143
Zm00001d038146,Zm00001d038146,Oxidoreductase%2C 2OG-Fe oxygenase family protein,AT4G02940,,Zm00001d038146
Zm00001d038147,Zm00001d038147,BI1-like protein,AT4G15470,LFG5,Zm00001d038147 (LFG5)
Zm00001d038148,Zm00001d038148,B3 domain-containing transcription repressor VAL2,,,Zm00001d038148
Zm00001d038150,Zm00001d038150,Probable manganese-transporting ATPase PDR2,AT5G23630,PDR2,Zm00001d038150 (PDR2)
Zm00001d038153,Zm00001d038153,Leucine-rich repeat (LRR) family protein,AT1G03440,,Zm00001d038153
Zm00001d038156,autophagy18g,Autophagy-related protein 18g,AT1G54710,ATG18H,autophagy18g (ATG18H)
Zm00001d038158,mTERF-domain protein22,Mitochondrial transcription termination factor family protein,AT1G21150,,mTERF-domain protein22
Zm00001d038161,Zm00001d038161,resistance to phytophthora 1,AT2G48070,RPH1,Zm00001d038161 (RPH1)
Zm00001d038163,"pyruvate, orthophosphate dikinase1",pyruvate orthophosphate dikinase1,AT4G15530,PPDK,"pyruvate, orthophosphate dikinase1 (PPDK)"
Zm00001d038164,methyl binding domain120,methyl binding domain,AT4G22745,MBD1,methyl binding domain120 (MBD1)
Zm00001d038165,gibberellin-insensitive dwarf protein homolog1,Putative GID1-like gibberellin receptor,AT5G27320,GID1C,gibberellin-insensitive dwarf protein homolog1 (GID1C)
Zm00001d038166,Zm00001d038166,Pentatricopeptide repeat-containing protein,AT2G30780,,Zm00001d038166
Zm00001d038167,Zm00001d038167,Lipase,AT1G10740,,Zm00001d038167
Zm00001d038170,deoxy xylulose synthase 1,deoxy xylulose synthase 1,AT4G15560,DXS1,deoxy xylulose synthase 1 (DXS1)
Zm00001d038171,Zm00001d038171,Ubiquitin-associated/translation elongation factor EF1B protein,AT2G26920,,Zm00001d038171
Zm00001d038173,cystatin5,Putative cystatin,AT3G12490,CYSB,cystatin5 (CYSB)
Zm00001d038174,Zm00001d038174,microtubule-associated protein 65-5,AT2G38720,MAP65-5,Zm00001d038174 (MAP65-5)
Zm00001d038175,Aux/IAA-transcription factor 29,Auxin-responsive protein,,,Aux/IAA-transcription factor 29
Zm00001d038176,pentatricopeptide repeat protein360,Pentatricopeptide repeat-containing protein,AT4G14170,,pentatricopeptide repeat protein360
Zm00001d038177,Zm00001d038177,Probable carboxylesterase 17,AT5G06570,,Zm00001d038177
Zm00001d038178,Zm00001d038178,Probable carboxylesterase 17,AT5G16080,CXE17,Zm00001d038178 (CXE17)
Zm00001d038179,Zm00001d038179,Protein NRT1/ PTR FAMILY 3.1,AT1G68570,NPF3.1,Zm00001d038179 (NPF3.1)
Zm00001d038180,Zm00001d038180,Protein NRT1/ PTR FAMILY 3.1,AT1G68570,NPF3.1,Zm00001d038180 (NPF3.1)
Zm00001d038181,Zm00001d038181,Protein NRT1/ PTR FAMILY 3.1,AT1G68570,NPF3.1,Zm00001d038181 (NPF3.1)
Zm00001d038183,Zm00001d038183,GDSL esterase/lipase,AT5G45920,,Zm00001d038183
Zm00001d038185,Zm00001d038185,Protein NRT1/ PTR FAMILY 3.1,AT1G68570,NPF3.1,Zm00001d038185 (NPF3.1)
Zm00001d038186,peptide transporter 2,Protein NRT1/ PTR FAMILY 3.1,AT1G68570,NPF3.1,peptide transporter 2 (NPF3.1)
Zm00001d038189,bZIP-transcription factor 34,FAD/NAD(P)-binding oxidoreductase family protein,AT4G30720,PDE327,bZIP-transcription factor 34 (PDE327)
Zm00001d038190,DBF1-interactor protein 1,Single-stranded nucleic acid binding R3H protein,AT3G56680,,DBF1-interactor protein 1
Zm00001d038191,G2-like-transcription factor 51,Homeodomain-like superfamily protein,AT3G10760,,G2-like-transcription factor 51
Zm00001d038192,glutathione transferase41,glutathione transferase41,AT3G09270,GSTU8,glutathione transferase41 (GSTU8)
Zm00001d038193,isopentenyl pyrophosphate isomerase3,isopentenyl pyrophosphate isomerase3,AT4G29090,,isopentenyl pyrophosphate isomerase3
Zm00001d038194,Zm00001d038194,F-box/FBD/LRR-repeat protein,AT1G13570,,Zm00001d038194
Zm00001d038195,brassinosteroid insensitive1-associated receptor kinase 4,Probably inactive leucine-rich repeat receptor-like protein kinase,AT5G48380,BIR1,brassinosteroid insensitive1-associated receptor kinase 4 (BIR1)
Zm00001d038196,exochitinase3,Beta-hexosaminidase 3,AT1G65590,HEXO3,exochitinase3 (HEXO3)
Zm00001d038197,LBD-transcription factor 32,Putative LOB domain-containing family protein,AT1G65620,AS2,LBD-transcription factor 32 (AS2)
Zm00001d038198,Zm00001d038198,Protease Do-like 10 mitochondrial,AT5G36950,DegP10,Zm00001d038198 (DegP10)
Zm00001d038199,barley mlo defense gene homolog10,MLO-like protein 1,AT4G02600,MLO1,barley mlo defense gene homolog10 (MLO1)
Zm00001d038200,Zm00001d038200,Guanosine nucleotide diphosphate dissociation inhibitor 2,AT3G59920,GDI2,Zm00001d038200 (GDI2)
Zm00001d038201,Zea mays ARGOS4,Zea mays ARGOS4,,,Zea mays ARGOS4
Zm00001d038205,barley mlo defense gene homolog8,barley mlo defense gene homolog8,AT4G02600,MLO1,barley mlo defense gene homolog8 (MLO1)
Zm00001d038206,Zm00001d038206,Pentatricopeptide repeat-containing protein  mitochondrial,AT4G14050,,Zm00001d038206
Zm00001d038207,NAC-transcription factor 3,NAC domain-containing protein 35,AT2G02450,NAC035,NAC-transcription factor 3 (NAC035)
Zm00001d038208,Alfin-like-transcription factor 5,PHD finger protein ALFIN-LIKE 6,AT5G26210,AL4,Alfin-like-transcription factor 5 (AL4)
Zm00001d038209,Zm00001d038209,Protein root UVB sensitive 6,AT5G49820,RUS6,Zm00001d038209 (RUS6)
Zm00001d038211,Zm00001d038211,Anther-specific proline-rich protein APG,AT1G71691,,Zm00001d038211
Zm00001d038216,AP2-EREBP-transcription factor 84,Putative AP2/EREBP transcription factor superfamily protein,AT1G22810,,AP2-EREBP-transcription factor 84
Zm00001d038217,targeting protein for Xklp2 2,TPX2 (targeting protein for Xklp2) protein family,AT3G27350,,targeting protein for Xklp2 2
Zm00001d038218,Zm00001d038218,Cytochrome c-2,AT4G10040,CYTC-2,Zm00001d038218 (CYTC-2)
Zm00001d038221,NAC-transcription factor 20,NAC domain containing protein 32,AT5G63790,NAC102,NAC-transcription factor 20 (NAC102)
Zm00001d038222,Zm00001d038222,Probable magnesium transporter NIPA4,AT1G34470,,Zm00001d038222
Zm00001d038223,Zm00001d038223,Bzip transcription factor-like;  protein,AT1G21740,,Zm00001d038223
Zm00001d038224,F-box protein FBL2,F-box protein SKP2A,AT1G21410,SKP2A,F-box protein FBL2 (SKP2A)
Zm00001d038226,sugars will eventually be exported transporter1b,sugars will eventually be exported transporter1b,AT1G21460,SWEET1,sugars will eventually be exported transporter1b (SWEET1)
Zm00001d038227,NAC-transcription factor 112,Putative NAC domain transcription factor superfamily protein isoform 1%3B Putative NAC domain transcription factor superfamily protein isoform 2,AT5G09330,VNI1,NAC-transcription factor 112 (VNI1)
Zm00001d038228,Zm00001d038228,Protein trichome berefringence-like 7,AT1G48880,TBL7,Zm00001d038228 (TBL7)
Zm00001d038229,glucuronic acid substitution of xylan ortholog1,UDP-glucuronate:xylan alpha-glucuronosyltransferase 1,AT3G18660,PGSIP1,glucuronic acid substitution of xylan ortholog1 (PGSIP1)
Zm00001d038232,Zm00001d038232,RNA-binding (RRM/RBD/RNP motifs) family protein,,,Zm00001d038232
Zm00001d038239,Zm00001d038239,Whole genome shotgun sequence of line PN40024 scaffold_35.assembly12x (Fragment),AT1G09812,,Zm00001d038239
Zm00001d038240,hyperosmolality-gated calcium-permeable channels4,CSC1-like protein,AT3G21620,,hyperosmolality-gated calcium-permeable channels4
Zm00001d038244,Zm00001d038244,Auxin-responsive protein,AT5G47900,,Zm00001d038244
Zm00001d038248,Zm00001d038248,RNA-binding (RRM/RBD/RNP motifs) family protein,AT4G10110,,Zm00001d038248
Zm00001d038250,Zm00001d038250,HSP40/DnaJ peptide-binding protein,AT3G08910,,Zm00001d038250
Zm00001d038251,Zm00001d038251,Adenine nucleotide alpha hydrolases-like superfamily protein,AT1G44760,,Zm00001d038251
Zm00001d038252,potassium channel2,potassium channel2,AT4G22200,KT2/3,potassium channel2 (KT2/3)
Zm00001d038253,Zm00001d038253,DUF674 family protein,,,Zm00001d038253
Zm00001d038257,defective kernel19,Pentatricopeptide repeat-containing protein,AT2G01390,EMB3111,defective kernel19 (EMB3111)
Zm00001d038260,Zm00001d038260,FAM91A1-like protein,AT1G35220,,Zm00001d038260
Zm00001d038262,Zm00001d038262,Patellin-1,AT4G09160,,Zm00001d038262
Zm00001d038263,Zm00001d038263,O-fucosyltransferase family protein,AT2G37980,,Zm00001d038263
Zm00001d038266,Zm00001d038266,Small nuclear RNA activating complex (SNAPc) subunit SNAP43 protein,AT3G53270,,Zm00001d038266
Zm00001d038267,Zm00001d038267,maternal effect embryo arrest 59,AT4G37300,MEE59,Zm00001d038267 (MEE59)
Zm00001d038268,Zm00001d038268,Probable anion transporter 3 chloroplastic,AT2G38060,PHT4;2,Zm00001d038268 (PHT4;2)
Zm00001d038269,Zm00001d038269,UPF0503 protein  chloroplastic,AT2G38070,,Zm00001d038269
Zm00001d038270,MYB-related-transcription factor 3,Duplicated homeodomain-like superfamily protein,AT5G58900,,MYB-related-transcription factor 3
Zm00001d038271,Zm00001d038271,Glycosyl hydrolase family protein,AT3G47000,,Zm00001d038271
Zm00001d038272,Zm00001d038272,Glycosyl hydrolase family protein,AT3G47000,,Zm00001d038272
Zm00001d038273,coronatine insensitive3,Coronatine-insensitive protein 1,AT2G39940,COI1,coronatine insensitive3 (COI1)
Zm00001d038274,Zm00001d038274,Tetratricopeptide repeat (TPR)-like superfamily protein,AT2G29670,,Zm00001d038274
Zm00001d038275,auxin import carrier4,Auxin transporter-like protein 1,AT5G01240,LAX1,auxin import carrier4 (LAX1)
Zm00001d038279,Zm00001d038279,Nuclear ribonuclease Z,AT1G74700,TRZ1,Zm00001d038279 (TRZ1)
Zm00001d038280,Zm00001d038280,U-box domain-containing protein 29,AT3G18710,PUB29,Zm00001d038280 (PUB29)
Zm00001d038281,C2C2-Dof-transcription factor 20,Dof zinc finger protein DOF1.2,AT3G52440,,C2C2-Dof-transcription factor 20
Zm00001d038282,Zm00001d038282,Putative LSTK-1-like/NimA-related protein kinase family protein isoform 1%3B Putative LSTK-1-like/NimA-related protein kinase family protein isoform 2,AT3G44200,NEK6,Zm00001d038282 (NEK6)
Zm00001d038283,OVATE-transcription factor 26,Plant-specific domain TIGR01568 family protein,AT2G36026,,OVATE-transcription factor 26
Zm00001d038284,OVATE-transcription factor 27,Transcription repressor OFP13,AT5G04820,OFP13,OVATE-transcription factor 27 (OFP13)
Zm00001d038288,MYB-related-transcription factor 13,Putative MYB DNA-binding domain superfamily protein,AT5G04760,,MYB-related-transcription factor 13
Zm00001d038289,NAC-transcription factor 31,Putative NAC domain transcription factor superfamily protein,AT5G22380,NAC090,NAC-transcription factor 31 (NAC090)
Zm00001d038290,Zm00001d038290,sec23/sec24 transport family protein,AT2G27460,,Zm00001d038290
Zm00001d038291,ferredoxin6,Ferredoxin-6%2C chloroplastic,AT2G27510,FD3,ferredoxin6 (FD3)
Zm00001d038292,Zm00001d038292,Syntaxin/t-SNARE family protein,,,Zm00001d038292
Zm00001d038294,Zm00001d038294,Methionine aminopeptidase 1D chloroplastic/mitochondrial,AT4G33380,,Zm00001d038294
Zm00001d038296,bZIP-transcription factor 87,Putative bZIP transcription factor superfamily protein,AT1G08320,TGA9,bZIP-transcription factor 87 (TGA9)
Zm00001d038297,Zm00001d038297,Zinc finger protein WIP6,AT3G20880,WIP4,Zm00001d038297 (WIP4)
Zm00001d038299,Zm00001d038299,Solute carrier family 35 member F1,AT3G59310,,Zm00001d038299
Zm00001d038300,Zm00001d038300,Putative cytochrome P450 superfamily protein,AT2G27690,CYP94C1,Zm00001d038300 (CYP94C1)
Zm00001d038302,repressor of silencing1,Protein ROS1,AT2G36490,ROS1,repressor of silencing1 (ROS1)
Zm00001d038304,Zm00001d038304,Carbohydrate-binding-like fold,AT5G01260,,Zm00001d038304
Zm00001d038306,Zm00001d038306,cytoplasmic membrane protein,AT4G10140,,Zm00001d038306
Zm00001d038307,Zm00001d038307,Glutathione S-transferase family protein,AT4G19880,,Zm00001d038307
Zm00001d038309,Zm00001d038309,cyclin-related,,,Zm00001d038309
Zm00001d038310,TUB-transcription factor 10,Tubby-like F-box protein 10,AT1G76900,TLP1,TUB-transcription factor 10 (TLP1)
Zm00001d038311,bZIP-transcription factor 101,G-box-binding factor 4,AT1G03970,GBF4,bZIP-transcription factor 101 (GBF4)
Zm00001d038312,Zm00001d038312,Integral membrane Yip1 family protein,AT4G30260,YIP4b,Zm00001d038312 (YIP4b)
Zm00001d038317,Zm00001d038317,Nicastrin,AT3G52640,,Zm00001d038317
Zm00001d038318,Zm00001d038318,Polypyrimidine tract-binding protein homolog 3,AT1G43190,PTB3,Zm00001d038318 (PTB3)
Zm00001d038319,Zm00001d038319,Protein LIKE COV 2,AT1G43130,LCV2,Zm00001d038319 (LCV2)
Zm00001d038320,AP2-EREBP-transcription factor 133,Putative AP2/EREBP transcription factor superfamily protein,AT5G50080,ERF110,AP2-EREBP-transcription factor 133 (ERF110)
Zm00001d038321,Zm00001d038321,Protein S-acyltransferase 8,AT4G24630,,Zm00001d038321
Zm00001d038326,SnRK2 serine threonine protein kinase 11,Serine/threonine-protein kinase SRK2A,AT1G10940,SRK2A,SnRK2 serine threonine protein kinase 11 (SRK2A)
Zm00001d038327,Zm00001d038327,Proteinase inhibitor propeptide,AT1G71950,,Zm00001d038327
Zm00001d038328,Zm00001d038328,alpha/beta-Hydrolases superfamily protein,AT1G34340,,Zm00001d038328
Zm00001d038329,Transmembrane protein 18,Transmembrane protein 18,AT1G34350,,Transmembrane protein 18
Zm00001d038330,Zm00001d038330,DUF1682 family protein,AT4G24330,,Zm00001d038330
Zm00001d038332,Zm00001d038332,Amidophosphoribosyltransferase,AT2G16570,ATASE1,Zm00001d038332 (ATASE1)
Zm00001d038333,Zm00001d038333,Protein NRT1/ PTR FAMILY 5.10,AT1G22540,,Zm00001d038333
Zm00001d038334,Zm00001d038334,Protein NRT1/ PTR FAMILY 5.10,AT1G22540,,Zm00001d038334
Zm00001d038335,Zm00001d038335,OSJNBb0008G24.13 protein,AT1G22570,,Zm00001d038335
Zm00001d038337,Zm00001d038337,DAR GTPase 3 chloroplastic,AT4G02790,EMB3129,Zm00001d038337 (EMB3129)
Zm00001d038338,MYB-transcription factor 85,Transcription repressor MYB6,AT4G38620,MYB4,MYB-transcription factor 85 (MYB4)
Zm00001d038339,Zm00001d038339,UDP-glucuronic acid decarboxylase 5,AT2G28760,UXS6,Zm00001d038339 (UXS6)
Zm00001d038340,Zm00001d038340,Phosphoribosylanthranilate transferase,AT1G22610,,Zm00001d038340
Zm00001d038341,Zm00001d038341,PAR1 protein,AT3G54040,,Zm00001d038341
Zm00001d038342,Zm00001d038342,RING/FYVE/PHD zinc finger superfamily protein,AT5G05830,,Zm00001d038342
Zm00001d038343,Zm00001d038343,Phosphatidylinositol:ceramide inositolphosphotransferase 1,AT3G54020,AtIPCS1,Zm00001d038343 (AtIPCS1)
Zm00001d038345,Zm00001d038345,lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme,AT4G16710,,Zm00001d038345
Zm00001d038347,Zm00001d038347,TTF-type zinc finger protein with HAT dimerisation domain,AT1G41920,,Zm00001d038347
Zm00001d038348,Zm00001d038348,guanylyl cyclase 1,AT5G05930,GC1,Zm00001d038348 (GC1)
Zm00001d038351,Zm00001d038351,Adenine nucleotide alpha hydrolases-like superfamily protein,AT3G53990,,Zm00001d038351
Zm00001d038355,Homeobox-transcription factor 76,BEL1-like homeodomain protein 9,AT5G02030,VAN,Homeobox-transcription factor 76 (VAN)
Zm00001d038357,bHLH-transcription factor 118,Transcription factor bHLH104,AT3G23210,bHLH34,bHLH-transcription factor 118 (bHLH34)
Zm00001d038358,pyrroline-5-carboxylate synthase1,Delta-1-pyrroline-5-carboxylate synthase B,AT2G39800,P5CS1,pyrroline-5-carboxylate synthase1 (P5CS1)
Zm00001d038361,Zm00001d038361,Integral membrane Yip1 family protein,AT2G39805,,Zm00001d038361
Zm00001d038362,Zm00001d038362,Uracil phosphoribosyltransferase chloroplastic,AT3G53900,UPP,Zm00001d038362 (UPP)
